index,chrom,type_prot,start_chrom,end_chrom,gene_name,gene_biotype,gene_id,transcript_name,transcript_id,tss_id
44582,2L,exon,9327039,9327553,CR45457,lincRNA,FBgn0267013,CR45457-RA,FBtr0345964,TSS20573
44584,2L,UTR,9327744,9327799,CG17005,protein_coding,FBgn0032109,CG17005-RE,FBtr0336624,TSS14674
44650,2L,UTR,9330763,9331054,Cks30A,protein_coding,FBgn0010314,Cks30A-RA,FBtr0079799,TSS831
44659,2L,UTR,9333567,9333659,Eaat1,protein_coding,FBgn0026439,Eaat1-RB,FBtr0079800,TSS13435
44767,2L,UTR,9342832,9342994,CG3748,protein_coding,FBgn0032110,CG3748-RC,FBtr0336625,TSS17972
44781,2L,exon,9348726,9349212,CR44802,lincRNA,FBgn0266037,CR44802-RA,FBtr0343254,TSS744
44783,2L,UTR,9349546,9349556,CG43350,protein_coding,FBgn0263082,CG43350-RA,FBtr0307098,TSS17686
44801,2L,UTR,9350470,9350547,CG13110,protein_coding,FBgn0032111,CG13110-RA,FBtr0079805,TSS8648
44808,2L,exon,9364297,9364356,CR43404,lincRNA,FBgn0263323,CR43404-RB,FBtr0342858,TSS1481
44811,2L,UTR,9367640,9367705,CG34181,protein_coding,FBgn0085210,CG34181-RA,FBtr0112374,TSS20452
44818,2L,UTR,9370309,9373024,Shawl,protein_coding,FBgn0085395,Shawl-RD,FBtr0332598,TSS2417
44821,2L,exon,9372102,9372121,CR43865,lincRNA,FBgn0264447,CR43865-RA,FBtr0332596,TSS13591
44866,2L,UTR,9387389,9387767,Aldh,protein_coding,FBgn0012036,Aldh-RA,FBtr0079806,TSS12592
44892,2L,UTR,9396999,9397176,CG4438,protein_coding,FBgn0032115,CG4438-RB,FBtr0303900,TSS14835
44922,2L,UTR,9416588,9416622,Mco1,protein_coding,FBgn0032116,Mco1-RA,FBtr0079807,TSS2752
44967,2L,UTR,9426784,9426934,Fbp2,protein_coding,FBgn0000640,Fbp2-RB,FBtr0343428,TSS21095
44994,2L,UTR,9427870,9428022,CG42847,protein_coding,FBgn0262036,CG42847-RA,FBtr0303932,TSS12236
45003,2L,UTR,9428669,9428829,FucTB,protein_coding,FBgn0032117,FucTB-RD,FBtr0346623,TSS10827
45038,2L,UTR,9431405,9431713,scat,protein_coding,FBgn0011232,scat-RA,FBtr0079809,TSS828
45047,2L,UTR,9435399,9435509,CG3769,protein_coding,FBgn0032119,CG3769-RA,FBtr0079810,TSS20545
45056,2L,UTR,9436804,9436869,RpS28-like,protein_coding,FBgn0085211,RpS28-like-RA,FBtr0112375,TSS22996
45065,2L,UTR,9437469,9437959,numb,protein_coding,FBgn0002973,numb-RB,FBtr0079821,TSS19024
45068,2L,exon,9440011,9440166,CG33723,protein_coding,FBgn0053723,CG33723-RA,FBtr0091721,TSS15756
45117,2L,exon,9470326,9470345,CR43769,lincRNA,FBgn0264269,CR43769-RA,FBtr0331293,TSS13678
45120,2L,UTR,9491176,9492083,Gdi,protein_coding,FBgn0004868,Gdi-RC,FBtr0345433,TSS2481
45153,2L,UTR,9495474,9495656,CG33298,protein_coding,FBgn0032120,CG33298-RD,FBtr0301065,TSS10746
45297,2L,UTR,9521210,9521440,Oatp30B,protein_coding,FBgn0032123,Oatp30B-RB,FBtr0079826,TSS8513
45310,2L,UTR,9528515,9528527,CG31883,protein_coding,FBgn0032122,CG31883-RA,FBtr0079829,TSS1998
45390,2L,UTR,9540523,9540643,CG17855,protein_coding,FBgn0032124,CG17855-RA,FBtr0079830,TSS20837
45405,2L,UTR,9542878,9542946,Cpr30B,protein_coding,FBgn0032125,Cpr30B-RA,FBtr0079831,TSS17986
45414,2L,UTR,9544171,9544174,CG13113,protein_coding,FBgn0032126,CG13113-RA,FBtr0079832,TSS21015
45421,2L,UTR,9545811,9545932,CG13114,protein_coding,FBgn0032127,CG13114-RB,FBtr0273329,TSS20773
45429,2L,UTR,9547720,9549578,jp,protein_coding,FBgn0032129,jp-RB,FBtr0079860,TSS10321
45532,2L,exon,9568155,9568785,CR44149,lincRNA,FBgn0264998,CR44149-RA,FBtr0335493,TSS7664
45534,2L,UTR,9568890,9569198,CG3838,protein_coding,FBgn0032130,CG3838-RA,FBtr0079834,TSS8317
45560,2L,UTR,9573563,9573769,Mtpalpha,protein_coding,FBgn0028479,Mtpalpha-RB,FBtr0079857,TSS18879
45590,2L,UTR,9578120,9578813,CG31709,protein_coding,FBgn0051709,CG31709-RB,FBtr0346456,TSS12298
45604,2L,UTR,9579498,9580002,gcm,protein_coding,FBgn0014179,gcm-RB,FBtr0335492,TSS17992
45630,2L,exon,9584670,9585016,CR43621,lincRNA,FBgn0263612,CR43621-RB,FBtr0309976,TSS7351
45637,2L,UTR,9589476,9589585,CG3841,protein_coding,FBgn0032131,CG3841-RB,FBtr0303250,TSS20777
45661,2L,UTR,9598880,9598939,CG4382,protein_coding,FBgn0032132,CG4382-RB,FBtr0114535,TSS13029
45674,2L,UTR,9608562,9608897,gcm2,protein_coding,FBgn0019809,gcm2-RA,FBtr0079837,TSS21688
45687,2L,UTR,9613166,9613375,Trx-2,protein_coding,FBgn0040070,Trx-2-RB,FBtr0079839,TSS2567
45711,2L,UTR,9616469,9616479,GlcAT-S,protein_coding,FBgn0032135,GlcAT-S-RA,FBtr0079841,TSS20346
45756,2L,UTR,9624452,9624857,CG31882,protein_coding,FBgn0051882,CG31882-RA,FBtr0079853,TSS4773
45763,2L,UTR,9634179,9634328,Apoltp,protein_coding,FBgn0032136,Apoltp-RC,FBtr0303874,TSS10933
45808,2L,UTR,9656600,9656644,CG33299,protein_coding,FBgn0053299,CG33299-RC,FBtr0303875,TSS7827
45824,2L,exon,9669640,9670685,CR44150,lincRNA,FBgn0264999,CR44150-RA,FBtr0335496,TSS8830
45827,2L,UTR,9682315,9685202,Pka-C1,protein_coding,FBgn0000273,Pka-C1-RC,FBtr0079852,TSS9185
45860,2L,UTR,9699791,9699934,hoip,protein_coding,FBgn0015393,hoip-RB,FBtr0335494,TSS21194
45878,2L,UTR,9700810,9701052,pelo,protein_coding,FBgn0011207,pelo-RA,FBtr0079847,TSS17016
45887,2L,UTR,9702442,9703081,CG31710,protein_coding,FBgn0051710,CG31710-RD,FBtr0339523,TSS19175
45926,2L,UTR,9708921,9709026,CG4364,protein_coding,FBgn0032138,CG4364-RA,FBtr0079848,TSS6393
45939,2L,UTR,9711512,9717522,Nckx30C,protein_coding,FBgn0028704,Nckx30C-RF,FBtr0335506,TSS5315
46008,2L,UTR,9729940,9730003,CG13116,protein_coding,FBgn0032139,CG13116-RB,FBtr0335502,TSS7326
46032,2L,UTR,9736645,9736709,CG13117,protein_coding,FBgn0032140,CG13117-RB,FBtr0335503,TSS1342
46076,2L,UTR,9747839,9748011,Cyp4e3,protein_coding,FBgn0015035,Cyp4e3-RA,FBtr0079925,TSS11780
46093,2L,UTR,9758342,9758749,zf30C,protein_coding,FBgn0022720,zf30C-RA,FBtr0079865,TSS17041
46106,2L,UTR,9762424,9762521,Taf11,protein_coding,FBgn0011291,Taf11-RA,FBtr0079924,TSS7492
46115,2L,UTR,9763369,9763628,und,protein_coding,FBgn0025117,und-RA,FBtr0079866,TSS3051
46148,2L,exon,9765357,9765559,ppk18,protein_coding,FBgn0265001,ppk18-RA,FBtr0335505,TSS16559
46162,2L,UTR,9767058,9767071,CG4017,protein_coding,FBgn0032143,CG4017-RA,FBtr0079867,TSS1723
46171,2L,UTR,9769060,9769083,CG17633,protein_coding,FBgn0032144,CG17633-RA,FBtr0079868,TSS13530
46183,2L,exon,9771155,9771267,ppk16,protein_coding,FBgn0065108,ppk16-RA,FBtr0100832,TSS7956
46199,2L,exon,9773108,9773292,ppk11,protein_coding,FBgn0065109,ppk11-RA,FBtr0100831,TSS6074
46210,2L,UTR,9782384,9782784,IP3K1,protein_coding,FBgn0032147,IP3K1-RA,FBtr0079869,TSS1908
46228,2L,exon,9787279,9788370,CR18854,pseudogene,FBgn0042174,CR18854-RC,FBtr0079919,TSS2988
46249,2L,UTR,9790882,9790901,CG4036,protein_coding,FBgn0032149,CG4036-RB,FBtr0303447,TSS14930
46269,2L,UTR,9791961,9791981,CG13123,protein_coding,FBgn0032150,CG13123-RB,FBtr0331285,TSS18195
46298,2L,UTR,9793317,9797107,nAChRalpha6,protein_coding,FBgn0032151,nAChRalpha6-RC,FBtr0079914,TSS762
46477,2L,exon,9848289,9848376,CR43766,lincRNA,FBgn0264266,CR43766-RA,FBtr0331283,TSS3508
46530,2L,exon,9887039,9887229,CR44701,lincRNA,FBgn0265912,CR44701-RA,FBtr0342836,TSS14915
46533,2L,UTR,9888005,9888142,FKBP59,protein_coding,FBgn0029174,FKBP59-RB,FBtr0342837,TSS18513
46575,2L,UTR,9890061,9890129,CG34183,protein_coding,FBgn0085212,CG34183-RA,FBtr0112376,TSS13719
46588,2L,UTR,9890885,9890909,CG4537,protein_coding,FBgn0032153,CG4537-RB,FBtr0113031,TSS10874
46595,2L,UTR,9891255,9891350,mtDNA-helicase,protein_coding,FBgn0032154,mtDNA-helicase-RA,FBtr0079911,TSS1940
46608,2L,exon,9893805,9893872,Uhg2,lincRNA,FBgn0063449,Uhg2-RB,FBtr0330683,TSS12340
46612,2L,exon,9893946,9894026,snoRNA:U14:30Eb,snoRNA,FBgn0063391,snoRNA:U14:30Eb-RA,FBtr0079910,TSS9852
46616,2L,exon,9894205,9894285,snoRNA:U14:30Ea,snoRNA,FBgn0063392,snoRNA:U14:30Ea-RA,FBtr0079909,TSS15320
46620,2L,exon,9894477,9894544,snoRNA:Me18S-G1620,snoRNA,FBgn0063389,snoRNA:Me18S-G1620-RA,FBtr0079908,TSS5854
46624,2L,exon,9894795,9894907,snoRNA:Me18S-A1576,snoRNA,FBgn0025881,snoRNA:Me18S-A1576-RA,FBtr0079907,TSS4227
46628,2L,UTR,9895287,9895377,Bka,protein_coding,FBgn0010520,Bka-RA,FBtr0079874,TSS5011
46637,2L,UTR,9896265,9896326,RpS2,protein_coding,FBgn0004867,RpS2-RC,FBtr0345436,TSS4497
46664,2L,UTR,9897820,9897952,Muc30E,protein_coding,FBgn0053300,Muc30E-RC,FBtr0305657,TSS643
46673,2L,UTR,9903279,9903716,CG13124,protein_coding,FBgn0032156,CG13124-RJ,FBtr0300871,TSS11382
46892,2L,UTR,9908830,9909238,Etl1,protein_coding,FBgn0032157,Etl1-RA,FBtr0079901,TSS11229
46913,2L,UTR,9912911,9913047,Srp54,protein_coding,FBgn0024285,Srp54-RA,FBtr0079875,TSS17265
46920,2L,UTR,9915253,9915347,yip2,protein_coding,FBgn0040064,yip2-RA,FBtr0079876,TSS16661
46933,2L,UTR,9917221,9917442,CG5885,protein_coding,FBgn0025700,CG5885-RA,FBtr0079900,TSS10051
46942,2L,UTR,9918618,9918707,CG4598,protein_coding,FBgn0032160,CG4598-RB,FBtr0332505,TSS6072
46968,2L,UTR,9920160,9920228,CG4594,protein_coding,FBgn0032161,CG4594-RA,FBtr0079878,TSS19780
46994,2L,UTR,9921633,9921740,CG4592,protein_coding,FBgn0032162,CG4592-RB,FBtr0331632,TSS3351
47016,2L,UTR,9922737,9922793,TbCMF46,protein_coding,FBgn0032163,TbCMF46-RA,FBtr0079898,TSS12072
47033,2L,UTR,9925161,9925282,CG42366,protein_coding,FBgn0259712,CG42366-RA,FBtr0299965,TSS1169
47073,2L,UTR,9930580,9930625,CG42367,protein_coding,FBgn0259713,CG42367-RC,FBtr0331634,TSS5883
47082,2L,UTR,9932272,9932586,Cpr30F,protein_coding,FBgn0051876,Cpr30F-RA,FBtr0079897,TSS15004
47091,2L,UTR,9934767,9935255,CG31712,protein_coding,FBgn0051712,CG31712-RA,FBtr0079896,TSS19677
47105,2L,exon,9937232,9938833,CR45007,lincRNA,FBgn0266359,CR45007-RA,FBtr0344106,TSS12534
47117,2L,UTR,9938178,9938251,Apf,protein_coding,FBgn0051713,Apf-RA,FBtr0079895,TSS21317
47126,2L,UTR,9938863,9938963,CG4619,protein_coding,FBgn0032166,CG4619-RA,FBtr0079883,TSS10407
47144,2L,UTR,9940773,9940916,CG5853,protein_coding,FBgn0032167,CG5853-RB,FBtr0331635,TSS15786
47219,2L,exon,9948908,9951122,CR45949,lincRNA,FBgn0267611,CR45949-RA,FBtr0347040,TSS12023
47221,2L,exon,9950418,9950516,mir-87,pre_miRNA,FBgn0262428,mir-87-RM,FBtr0304394,TSS16364
47225,2L,UTR,9952072,9952580,CG13126,protein_coding,FBgn0032168,CG13126-RB,FBtr0343747,TSS19719
47247,2L,UTR,9954325,9954513,CG4709,protein_coding,FBgn0032169,CG4709-RB,FBtr0343737,TSS20623
47267,2L,UTR,9956175,9956288,CG5846,protein_coding,FBgn0032171,CG5846-RA,FBtr0079891,TSS22985
47281,2L,UTR,9957132,9957588,CG4658,protein_coding,FBgn0032170,CG4658-RD,FBtr0343738,TSS20533
47334,2L,UTR,9959248,9961354,CG5850,protein_coding,FBgn0032172,CG5850-RD,FBtr0309209,TSS8875
47335,2L,exon,9959248,9960232,CR44872,lincRNA,FBgn0266166,CR44872-RA,FBtr0343746,TSS17598
47372,2L,exon,9961018,9962104,CR43683,lincRNA,FBgn0263766,CR43683-RA,FBtr0310481,TSS17231
47456,2L,UTR,9964147,9964544,Dref,protein_coding,FBgn0015664,Dref-RA,FBtr0079889,TSS4077
47482,2L,UTR,9967313,9967358,RpL13,protein_coding,FBgn0011272,RpL13-RA,FBtr0079888,TSS11407
47519,2L,exon,9983671,9984245,CR13130,lincRNA,FBgn0040965,CR13130-RB,FBtr0344476,TSS16412
47522,2L,UTR,9984645,9984949,bib,protein_coding,FBgn0000180,bib-RB,FBtr0329984,TSS6093
47552,2L,UTR,9995561,9996005,CG31875,protein_coding,FBgn0051875,CG31875-RB,FBtr0303883,TSS10337
47580,2L,UTR,9996706,9996931,SoYb,protein_coding,FBgn0051755,SoYb-RB,FBtr0303882,TSS10337
47634,2L,UTR,10003832,10004046,CG4747,protein_coding,FBgn0043456,CG4747-RC,FBtr0343740,TSS20897
47649,2L,exon,10004310,10005043,CR44873,lincRNA,FBgn0266167,CR44873-RA,FBtr0343745,TSS19336
47705,2L,UTR,10009381,10009500,Trp1,protein_coding,FBgn0011584,Trp1-RD,FBtr0343741,TSS21312
47753,2L,UTR,10013227,10013270,CG13131,protein_coding,FBgn0032175,CG13131-RA,FBtr0079971,TSS15958
47764,2L,UTR,10026676,10026761,CG13127,protein_coding,FBgn0032176,CG13127-RA,FBtr0079933,TSS1560
47771,2L,UTR,10032690,10032739,obst-B,protein_coding,FBgn0027600,obst-B-RA,FBtr0079934,TSS8627
47788,2L,UTR,10049580,10049615,CG33301,protein_coding,FBgn0053301,CG33301-RA,FBtr0079935,TSS10463
47806,2L,exon,10051362,10052289,CR44874,lincRNA,FBgn0266168,CR44874-RA,FBtr0343743,TSS2305
47808,2L,exon,10053604,10054100,CR44875,lincRNA,FBgn0266169,CR44875-RA,FBtr0343744,TSS9704
47810,2L,UTR,10054213,10054355,Cpr31A,protein_coding,FBgn0053302,Cpr31A-RA,FBtr0079936,TSS11109
47819,2L,UTR,10056900,10057204,Pen,protein_coding,FBgn0267727,Pen-RA,FBtr0079937,TSS3783
47834,2L,UTR,10060816,10060999,Spn31A,protein_coding,FBgn0032178,Spn31A-RA,FBtr0079938,TSS3461
47847,2L,UTR,10064121,10064797,CG44153,protein_coding,FBgn0265002,CG44153-RB,FBtr0335510,TSS19538
47905,2L,UTR,10091208,10091581,CG13133,protein_coding,FBgn0032181,CG13133-RA,FBtr0079969,TSS9253
47912,2L,UTR,10094088,10094097,CG34109,protein_coding,FBgn0083945,CG34109-RC,FBtr0300423,TSS35
47947,2L,UTR,10122129,10122340,CG13135,protein_coding,FBgn0032184,CG13135-RC,FBtr0339512,TSS13889
47985,2L,UTR,10144776,10145218,CG4839,protein_coding,FBgn0032187,CG4839-RB,FBtr0079943,TSS22507
48037,2L,UTR,10172702,10172733,CG13137,protein_coding,FBgn0032188,CG13137-RB,FBtr0301684,TSS15395
48052,2L,UTR,10182557,10182783,Sur,protein_coding,FBgn0028675,Sur-RB,FBtr0290268,TSS13708
48081,2L,UTR,10189820,10189915,CG31874,protein_coding,FBgn0051874,CG31874-RA,FBtr0079964,TSS7656
48114,2L,UTR,10199401,10199831,Ripalpha,protein_coding,FBgn0032189,Ripalpha-RA,FBtr0079962,TSS11796
48127,2L,UTR,10201004,10201148,RpL7,protein_coding,FBgn0005593,RpL7-RB,FBtr0343653,TSS20418
48147,2L,UTR,10202520,10202882,CG34159,protein_coding,FBgn0085188,CG34159-RA,FBtr0112350,TSS20193
48158,2L,UTR,10204757,10205368,CG5734,protein_coding,FBgn0032191,CG5734-RA,FBtr0079960,TSS20684
48165,2L,UTR,10207085,10207310,CG5731,protein_coding,FBgn0032192,CG5731-RA,FBtr0079959,TSS8913
48178,2L,exon,10208741,10209409,CR44845,lincRNA,FBgn0266139,CR44845-RB,FBtr0343655,TSS265
48187,2L,UTR,10209853,10209994,CG5727,protein_coding,FBgn0032193,CG5727-RA,FBtr0079958,TSS423
48196,2L,UTR,10211170,10211282,CG4901,protein_coding,FBgn0032194,CG4901-RA,FBtr0079947,TSS19276
48211,2L,UTR,10213812,10213972,Npc1a,protein_coding,FBgn0024320,Npc1a-RD,FBtr0303907,TSS15641
48414,2L,UTR,10221351,10221442,Prosalpha6,protein_coding,FBgn0250843,Prosalpha6-RA,FBtr0079948,TSS7777
48436,2L,UTR,10222657,10222702,CG4908,protein_coding,FBgn0032195,CG4908-RA,FBtr0079949,TSS4391
48454,2L,UTR,10224457,10224759,CG5708,protein_coding,FBgn0032196,CG5708-RC,FBtr0343607,TSS5732
48503,2L,UTR,10227760,10227860,CG5694,protein_coding,FBgn0032197,CG5694-RB,FBtr0079954,TSS8743
48533,2L,UTR,10232507,10232572,eEF1delta,protein_coding,FBgn0032198,eEF1delta-RB,FBtr0079952,TSS5359
48553,2L,UTR,10234585,10234786,mthl15,protein_coding,FBgn0051720,mthl15-RC,FBtr0301973,TSS12989
48591,2L,UTR,10239341,10239535,me31B,protein_coding,FBgn0004419,me31B-RA,FBtr0079975,TSS21994
48621,2L,UTR,10242512,10242636,chico,protein_coding,FBgn0024248,chico-RB,FBtr0303904,TSS3745
48636,2L,exon,10242685,10242964,CR44995,lincRNA,FBgn0266330,CR44995-RA,FBtr0344061,TSS4803
48695,2L,UTR,10247502,10247647,bsk,protein_coding,FBgn0000229,bsk-RF,FBtr0302378,TSS4378
48748,2L,UTR,10250737,10250818,CG31717,protein_coding,FBgn0051717,CG31717-RA,FBtr0079977,TSS1772
48766,2L,UTR,10251843,10251966,Ror,protein_coding,FBgn0010407,Ror-RA,FBtr0079978,TSS18421
48787,2L,UTR,10254610,10254831,CG5676,protein_coding,FBgn0032200,CG5676-RA,FBtr0080086,TSS1290
48798,2L,UTR,10256319,10256452,Pten,protein_coding,FBgn0026379,Pten-RC,FBtr0089902,TSS17576
48989,2L,UTR,10261795,10262815,Rsf1,protein_coding,FBgn0011305,Rsf1-RB,FBtr0333411,TSS18590
49003,2L,UTR,10264125,10264207,CG18619,protein_coding,FBgn0032202,CG18619-RA,FBtr0089738,TSS6348
49055,2L,UTR,10265336,10265519,Mob3,protein_coding,FBgn0259482,Mob3-RA,FBtr0079983,TSS22533
49072,2L,UTR,10266703,10266809,CG4953,protein_coding,FBgn0032204,CG4953-RA,FBtr0079984,TSS5476
49087,2L,UTR,10268872,10268960,CG4957,protein_coding,FBgn0032205,CG4957-RA,FBtr0079985,TSS15520
49100,2L,UTR,10270051,10270114,Mulk,protein_coding,FBgn0260750,Mulk-RA,FBtr0079986,TSS19948
49109,2L,UTR,10271443,10271501,trk,protein_coding,FBgn0003751,trk-RA,FBtr0080078,TSS3771
49118,2L,UTR,10272325,10272711,Utx,protein_coding,FBgn0260749,Utx-RB,FBtr0080076,TSS19631
49281,2L,UTR,10278951,10279118,CG34043,protein_coding,FBgn0054043,CG34043-RB,FBtr0300408,TSS3511
49298,2L,UTR,10281943,10281996,CG5604,protein_coding,FBgn0032208,CG5604-RA,FBtr0080074,TSS6065
49318,2L,UTR,10292679,10292780,Hand,protein_coding,FBgn0032209,Hand-RA,FBtr0080073,TSS638
49331,2L,UTR,10295859,10295916,CYLD,protein_coding,FBgn0032210,CYLD-RD,FBtr0080070,TSS7235
49388,2L,exon,10297730,10297897,CR44968,lincRNA,FBgn0266303,CR44968-RA,FBtr0344031,TSS13834
49416,2L,UTR,10299977,10300221,CG13138,protein_coding,FBgn0032211,CG13138-RC,FBtr0345746,TSS21441
49434,2L,UTR,10302173,10302670,nmd,protein_coding,FBgn0005322,nmd-RC,FBtr0343612,TSS20653
49461,2L,UTR,10304069,10304161,CG5390,protein_coding,FBgn0032213,CG5390-RA,FBtr0080064,TSS21659
49487,2L,UTR,10306922,10307044,CG4968,protein_coding,FBgn0032214,CG4968-RA,FBtr0079987,TSS10340
49498,2L,UTR,10308131,10308333,Cdk5alpha,protein_coding,FBgn0027491,Cdk5alpha-RA,FBtr0080063,TSS12203
49528,2L,UTR,10311050,10311329,l(2)SH0834,protein_coding,FBgn0267365,l(2)SH0834-RA,FBtr0080062,TSS7814
49537,2L,UTR,10312265,10312383,CG5384,protein_coding,FBgn0032216,CG5384-RB,FBtr0331669,TSS23233
49575,2L,UTR,10314792,10314913,CG4972,protein_coding,FBgn0032217,CG4972-RA,FBtr0079988,TSS55
49592,2L,UTR,10317497,10317588,CG5381,protein_coding,FBgn0032218,CG5381-RA,FBtr0080060,TSS5565
49668,2L,UTR,10322476,10322596,CG4995,protein_coding,FBgn0032219,CG4995-RB,FBtr0079989,TSS1615
49726,2L,UTR,10325026,10325098,RnrL,protein_coding,FBgn0011703,RnrL-RA,FBtr0080059,TSS6010
49739,2L,UTR,10328200,10328346,CG5375,protein_coding,FBgn0032221,CG5375-RB,FBtr0113033,TSS21248
49760,2L,UTR,10331471,10331609,CG5037,protein_coding,FBgn0032222,CG5037-RA,FBtr0079992,TSS14731
49773,2L,UTR,10333734,10334074,GATAd,protein_coding,FBgn0032223,GATAd-RB,FBtr0333097,TSS16843
49836,2L,UTR,10339457,10339514,SamDC,protein_coding,FBgn0019932,SamDC-RA,FBtr0079994,TSS8831
49855,2L,UTR,10341616,10341681,CG31715,protein_coding,FBgn0051715,CG31715-RA,FBtr0079996,TSS4578
49881,2L,UTR,10342594,10342758,Sps2,protein_coding,FBgn0032224,Sps2-RA,FBtr0079998,TSS4255
49909,2L,UTR,10344442,10344653,CG5022,protein_coding,FBgn0032225,CG5022-RA,FBtr0079999,TSS17574
49930,2L,UTR,10347851,10348016,CG34367,protein_coding,FBgn0085396,CG34367-RC,FBtr0112592,TSS13772
49969,2L,UTR,10354743,10354809,CG5367,protein_coding,FBgn0032228,CG5367-RA,FBtr0080055,TSS13178
49984,2L,UTR,10356795,10356914,CG5045,protein_coding,FBgn0032229,CG5045-RB,FBtr0332189,TSS2587
50006,2L,UTR,10358134,10358306,Cand1,protein_coding,FBgn0027568,Cand1-RB,FBtr0332198,TSS14436
50048,2L,UTR,10362989,10363098,pim,protein_coding,FBgn0003087,pim-RB,FBtr0332190,TSS19508
50070,2L,UTR,10364471,10364582,lft,protein_coding,FBgn0032230,lft-RA,FBtr0080002,TSS17522
50100,2L,UTR,10366692,10366875,CG5056,protein_coding,FBgn0032231,CG5056-RA,FBtr0080003,TSS9293
50107,2L,UTR,10368025,10368175,rho-5,protein_coding,FBgn0041723,rho-5-RA,FBtr0089855,TSS327
50124,2L,UTR,10373369,10374300,CG33303,protein_coding,FBgn0053303,CG33303-RB,FBtr0332197,TSS7670
50144,2L,UTR,10376168,10376553,dpr19,protein_coding,FBgn0032233,dpr19-RB,FBtr0332191,TSS21766
50203,2L,UTR,10380103,10380148,gny,protein_coding,FBgn0032234,gny-RB,FBtr0332193,TSS8524
50229,2L,UTR,10382263,10382339,CG5096,protein_coding,FBgn0032235,CG5096-RA,FBtr0080006,TSS16468
50246,2L,UTR,10384739,10384841,Cdk1,protein_coding,FBgn0004106,Cdk1-RA,FBtr0080051,TSS22961
50257,2L,UTR,10386662,10386743,mRpS7,protein_coding,FBgn0032236,mRpS7-RB,FBtr0332194,TSS3720
50275,2L,UTR,10388105,10388527,da,protein_coding,FBgn0000413,da-RC,FBtr0332196,TSS17299
50302,2L,exon,10392867,10393434,CR45789,lincRNA,FBgn0267439,CR45789-RA,FBtr0346784,TSS7373
50304,2L,UTR,10393774,10393933,Mdh1,protein_coding,FBgn0262782,Mdh1-RB,FBtr0345435,TSS20547
50322,2L,UTR,10396716,10396849,Cnot4,protein_coding,FBgn0051716,Cnot4-RC,FBtr0080010,TSS16997
50751,2L,UTR,10403197,10403235,CG17768,protein_coding,FBgn0032240,CG17768-RB,FBtr0304111,TSS631
50753,2L,UTR,10403197,10403556,LSm-4,protein_coding,FBgn0067622,LSm-4-RB,FBtr0091657,TSS8153
50809,2L,UTR,10405565,10405751,Ir31a,protein_coding,FBgn0051718,Ir31a-RC,FBtr0336967,TSS11146
50841,2L,UTR,10408352,10408386,RpS27A,protein_coding,FBgn0003942,RpS27A-RA,FBtr0080016,TSS12865
50842,2L,UTR,10408352,10408386,Ip259,protein_coding,FBgn0025366,Ip259-RA,FBtr0080017,TSS12865
50870,2L,UTR,10410537,10410636,CG5355,protein_coding,FBgn0032242,CG5355-RA,FBtr0080047,TSS6793
50893,2L,UTR,10414017,10414121,Klp31E,protein_coding,FBgn0032243,Klp31E-RC,FBtr0302039,TSS17979
51007,2L,UTR,10419190,10419264,RfC3,protein_coding,FBgn0032244,RfC3-RA,FBtr0080019,TSS17944
51024,2L,UTR,10420625,10420827,pie,protein_coding,FBgn0005683,pie-RB,FBtr0333490,TSS4102
51042,2L,UTR,10423291,10423346,CG5168,protein_coding,FBgn0032246,CG5168-RB,FBtr0304117,TSS3667
51078,2L,UTR,10425483,10425527,SmB,protein_coding,FBgn0262601,SmB-RB,FBtr0304118,TSS22868
51087,2L,UTR,10426887,10427003,KdelR,protein_coding,FBgn0267330,KdelR-RA,FBtr0080021,TSS17999
51112,2L,UTR,10428829,10428847,CG5188,protein_coding,FBgn0032247,CG5188-RA,FBtr0080024,TSS16545
51123,2L,UTR,10429920,10430058,Bug22,protein_coding,FBgn0032248,Bug22-RA,FBtr0080044,TSS1035
51132,2L,UTR,10431338,10431402,TfIIB,protein_coding,FBgn0004915,TfIIB-RB,FBtr0333489,TSS11253
51158,2L,UTR,10432687,10433154,CG5337,protein_coding,FBgn0032249,CG5337-RA,FBtr0080043,TSS3977
51167,2L,UTR,10435995,10436085,holn1,protein_coding,FBgn0032250,holn1-RA,FBtr0080026,TSS5000
51178,2L,UTR,10437548,10437838,CHIP,protein_coding,FBgn0027052,CHIP-RA,FBtr0080027,TSS20078
51195,2L,UTR,10439440,10439528,Nse4,protein_coding,FBgn0032251,Nse4-RB,FBtr0273339,TSS22448
51225,2L,exon,10441820,10442204,CR45375,lincRNA,FBgn0266915,CR45375-RA,FBtr0345773,TSS19490
51227,2L,UTR,10442534,10442802,loh,protein_coding,FBgn0032252,loh-RD,FBtr0337001,TSS7986
51298,2L,exon,10450134,10450249,ppk10,protein_coding,FBgn0065110,ppk10-RB,FBtr0100097,TSS7403
51324,2L,UTR,10452677,10452709,CG5322,protein_coding,FBgn0032253,CG5322-RA,FBtr0080042,TSS14325
51360,2L,UTR,10457658,10457851,LM408,protein_coding,FBgn0027611,LM408-RA,FBtr0080030,TSS10653
51410,2L,UTR,10463340,10463810,RluA-1,protein_coding,FBgn0051719,RluA-1-RC,FBtr0080041,TSS9215
51516,2L,UTR,10477073,10477183,RluA-2,protein_coding,FBgn0032256,RluA-2-RD,FBtr0337002,TSS894
